MESH_ID	Dict_MESH
D000015	{'D009358': 2, 'D000013': 1, 'D000015': 0}
D000022	{'D012101': 5, 'D055703': 4, 'D012098': 3, 'D011247': 2, 'D011256': 1, 'D000022': 0, 'D000091642': 3, 'D005261': 2, 'D011248': 1}
D000026	{'D000091642': 4, 'D005261': 3, 'D011248': 2, 'D000022': 1, 'D000026': 0}
D000027	{'D000091642': 4, 'D005261': 3, 'D011248': 2, 'D000022': 1, 'D000027': 0}
D000030	{'D000091642': 4, 'D005261': 3, 'D011248': 2, 'D000022': 1, 'D000030': 0}
D000031	{'D007239': 2, 'D011251': 1, 'D000031': 0, 'D000091642': 4, 'D005261': 3, 'D011248': 2, 'D000022': 1}
D000033	{'D000091642': 3, 'D005261': 2, 'D011248': 1, 'D000033': 0}
D000038	{'D013568': 4, 'D010335': 3, 'D007249': 2, 'D013492': 1, 'D000038': 0, 'D007239': 2}
D000039	{'D010038': 4, 'D010608': 3, 'D010612': 2, 'D014069': 1, 'D000039': 0, 'D007239': 3, 'D012141': 3, 'D013492': 2, 'D000038': 1, 'D012140': 4, 'D009057': 4}
D000051	{'D017437': 3, 'D012871': 2, 'D012872': 1, 'D000051': 0, 'D013568': 2, 'D010335': 1}
D000052	{'D017437': 5, 'D012871': 4, 'D010859': 3, 'D017495': 2, 'D008548': 1, 'D000052': 0}
D000066550	{'D012942': 4, 'D003418': 3, 'D003415': 2, 'D014754': 1, 'D000066550': 0, 'D012961': 3, 'D012940': 2}
D000066553	{'D001520': 3, 'D001519': 2, 'D001526': 1, 'D000066553': 0, 'D002652': 1}
D000067073	{'D001523': 3, 'D000068099': 2, 'D040921': 1, 'D000067073': 0}
D000067390	{'D014947': 1, 'D000067390': 0}
D000067877	{'D001523': 3, 'D065886': 2, 'D002659': 1, 'D000067877': 0}
D000068116	{'D001523': 2, 'D020018': 1, 'D000068116': 0}
D000069076	{'D014947': 2, 'D050723': 1, 'D000069076': 0, 'D009104': 1}
D000069258	{'D003933': 5, 'D019937': 4, 'D019411': 3, 'D013048': 2, 'D019152': 1, 'D000069258': 0, 'D013812': 3, 'D011677': 2, 'D013514': 3, 'D008919': 4}
D000069281	{'D004700': 3, 'D010900': 2, 'D000072659': 1, 'D000069281': 0, 'D007154': 2, 'D001327': 1, 'D009422': 6, 'D002493': 5, 'D001927': 4, 'D007027': 3}
D000069290	{'D013568': 3, 'D020763': 2, 'D006547': 1, 'D000069290': 0, 'D010335': 2, 'D011183': 1}
